group,team
A,Mexico
A,South Africa
A,South Korea
A,Czechia
B,Canada
B,Bosnia and Herzegovina
B,Qatar
B,Switzerland
C,Brazil
C,Morocco
C,Haiti
C,Scotland
D,United States
D,Paraguay
D,Australia
D,Turkey
E,Germany
E,Curacao
E,Ivory Coast
E,Ecuador
F,Netherlands
F,Japan
F,Sweden
F,Tunisia
G,Belgium
G,Egypt
G,Iran
G,New Zealand
H,Spain
H,Cape Verde
H,Saudi Arabia
H,Uruguay
I,France
I,Senegal
I,Iraq
I,Norway
J,Argentina
J,Algeria
J,Austria
J,Jordan
K,Portugal
K,DR Congo
K,Uzbekistan
K,Colombia
L,England
L,Croatia
L,Ghana
L,Panama
